Iniciativa;Dia/Semana;Data Inicial;Data Final;Principal usuario;Mencao inicial;Assunto;Impacto;Titulos;Posts;Usuarios;Alcance Potencial;RTs;Posts/Dia;Sent. Positivo;Sent. Negativo;Sent. Neutro;Duracao;Atualizacoes
Gauge;NA;2018-01-01;2018-01-03;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08852/17: (BAIXO) Perfil realiza associação política com executivos do Itaú;87;87;8179;NA;29;NA;NA;NA;3;1
Gauge;NA;2018-01-02;2018-01-04;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08854/18: (BAIXO) Perfil Brasil com Bolsonaro realiza nova menção em resposta à João Amoêdo;61;61;8179;NA;20;NA;NA;NA;3;1
Gauge;NA;2018-01-05;2018-01-05;NA;NA;Relações Trabalhistas;Baixo;ALERTA DE RISCO 12855/18: (BAIXO) Sindicato dos Bancários publica sobre alterações de escalas pelo Itaú;12;12;20864;NA;12;NA;NA;NA;1;0
Gauge;NA;2018-01-07;2018-01-08;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08856/18: (BAIXO) Alexandre Frota compara Luciano Huck ao Itaú;38;36;42699;NA;19;NA;NA;NA;2;0
Gauge;NA;2018-01-08;2018-01-08;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06857/18: (BAIXO) Influenciador realiza nova reclamação sobre supostas ligações do banco;4;2;87348;NA;4;NA;NA;NA;1;0
Gauge;NA;2018-01-09;2018-01-10;NA;NA;Produtos e Serviços;Sem impacto;ALERTA DE RISCO 06860/18: (BAIXO) Influenciadora critica Itaú no Instagram Stories;0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;NA;2018-01-09;2018-01-11;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 03858/18: (BAIXO) Internauta faz piada sobre o atendimento do Itaú;113;112;4195;NA;37;NA;NA;NA;3;3
Gauge;NA;2018-01-09;2018-01-09;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06859/18: (BAIXO) Influenciadora se queixa por valor cobrado pelo saque em banco 24h;2;2;100135;NA;2;NA;NA;NA;1;0
Gauge;NA;2018-01-11;2018-01-11;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08862/18: (BAIXO) Perfil relaciona Itaú ao Partido dos Trabalhadores;41;35;32002;NA;41;NA;NA;NA;1;0
Gauge;NA;2018-01-11;2018-01-11;NA;NA;Institucional;Baixo;ALERTA DE RISCO 07861/18: (BAIXO) Portal publica matéria e cita o Itaú negativamente;8;8;61398;NA;8;NA;NA;NA;1;0
Gauge;NA;2018-01-11;2018-01-11;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 08863/18: (BAIXO) Internauta critica atendente supostamente induzir a contratação de um empréstimo;2;2;814;NA;2;NA;NA;NA;1;0
Gauge;NA;2018-01-12;2018-01-12;NA;NA;Produtos e Serviços;Sem impacto;ALERTA DE RISCO 06864/18: (BAIXO) Portais divulgam contatos de bancos para auxiliar correntistas;0;NA;NA;NA;NA;NA;NA;NA;1;0
Gauge;NA;2018-01-12;2018-01-15;NA;NA;Comunicacao;Baixo;ALERTA INFORMATIVO 04865/18: (BAIXO) Influenciador faz sugestão sobre campanha do Itaú;3;1;118089;NA;1;NA;NA;NA;4;0
Gauge;NA;2018-01-15;2018-01-16;NA;NA;Produtos e Serviços;Baixo;ALERTA DE RISCO 06867/18: (BAIXO) Queixas sobre o APP Itaú estar fora do ar;85;78;93283;NA;43;NA;NA;NA;2;1
Gauge;NA;2018-01-15;2018-01-15;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 08868/18: (BAIXO) Internauta roubado em pré-carnaval se queixa por ter compra efetuada em seu cartão Itaú;62;61;32712;NA;62;NA;NA;NA;1;0
Gauge;NA;2018-01-15;2018-01-16;NA;NA;Atendimento;Baixo;ALERTA DE RISCO 08869/18: (BAIXO) Atendente do Itaú comete falha ao responder influenciador;40;40;7604;NA;20;NA;NA;NA;1;0
Gauge;NA;2018-01-15;2018-01-15;NA;NA;Relações Políticas;Baixo;ALERTA DE RISCO 08866/18: (BAIXO) Líder do MST faz crítica sobre entrevista de economista-chefe do Itaú;24;24;61112;NA;24;NA;NA;NA;1;0
